State,Year,Month,Unemployment_Rate,Labor_Force,Employed,Unemployed
Michigan,2023,9,5.4,1264795,1196496,68299
New York,2013,8,9.2,3670599,3332903,337696
California,2023,9,2.6,177175,172568,4607
Florida,2018,11,3.2,4785754,4632609,153145
Illinois,2013,11,11.1,3112359,2766887,345472
Texas,2018,6,11.0,3725654,3315832,409822
California,2023,12,8.0,522381,480590,41791
Texas,2014,5,3.1,501067,485533,15534
California,2014,9,11.1,1104001,981456,122545
Pennsylvania,2010,8,7.4,3277902,3035337,242565
Pennsylvania,2021,6,6.6,1999054,1867116,131938
Illinois,2012,10,4.1,2934837,2814508,120329
Pennsylvania,2014,3,6.7,4110162,3834781,275381
Florida,2016,7,3.8,370914,356819,14095
Georgia,2021,2,5.1,1134586,1076722,57864
Michigan,2018,1,5.1,3200581,3037351,163230
Georgia,2015,9,2.5,3121372,3043337,78035
Georgia,2019,11,3.8,3930121,3780776,149345
California,2018,1,8.4,4368173,4001246,366927
New York,2022,4,4.5,4170028,3982376,187652
Georgia,2010,1,4.6,849971,810872,39099
California,2019,7,10.1,4175837,3754077,421760
Washington,2020,6,11.4,2379176,2107949,271227
Pennsylvania,2014,1,8.4,2492919,2283513,209406
Ohio,2012,11,7.3,1694918,1571188,123730
New York,2020,1,6.2,3814379,3577887,236492
Pennsylvania,2017,5,5.0,3448924,3276477,172447
California,2022,10,11.6,3904409,3451497,452912
Ohio,2017,9,8.5,1620982,1483198,137784
Michigan,2010,4,9.0,4508285,4102539,405746
California,2013,2,3.4,2755982,2662278,93704
Pennsylvania,2013,1,3.2,537625,520421,17204
New York,2018,7,6.4,4118280,3854710,263570
Washington,2011,3,8.1,1670057,1534782,135275
Texas,2012,6,3.6,206022,198605,7417
New York,2013,6,3.6,570529,549989,20540
Georgia,2012,8,10.3,784029,703274,80755
New York,2020,1,3.3,4099694,3964404,135290
Washington,2014,5,10.2,2925494,2627093,298401
Pennsylvania,2018,6,10.5,4766805,4266290,500515
Texas,2013,3,3.2,1879685,1819535,60150
Washington,2023,12,4.6,773218,737649,35569
New York,2021,12,11.2,2279431,2024134,255297
Washington,2020,9,2.8,1801243,1750808,50435
California,2017,7,7.4,3715652,3440693,274959
Michigan,2013,5,11.0,848736,755375,93361
Florida,2012,10,8.6,888443,812036,76407
New York,2020,11,6.4,2980304,2789564,190740
California,2015,5,7.5,4805907,4445463,360444
Pennsylvania,2021,6,6.8,3425315,3192393,232922
California,2022,2,7.1,928791,862846,65945
Pennsylvania,2020,3,11.7,476794,421009,55785
Washington,2012,2,5.5,2580252,2438338,141914
Ohio,2023,10,11.1,3985180,3542825,442355
Ohio,2019,12,5.5,3399973,3212974,186999
Florida,2011,12,7.7,1436092,1325512,110580
Florida,2010,6,7.6,4296656,3970110,326546
Texas,2022,6,4.8,2928630,2788055,140575
New York,2012,10,10.4,226060,202549,23511
New York,2019,1,7.3,3177099,2945170,231929
Ohio,2021,11,7.8,1772795,1634516,138279
Pennsylvania,2022,3,3.9,1606145,1543505,62640
Florida,2012,1,9.5,1642247,1486233,156014
Georgia,2018,8,8.4,702276,643284,58992
Michigan,2014,8,2.9,4122928,4003363,119565
Ohio,2013,6,4.7,4988639,4754172,234467
Ohio,2011,11,5.9,3658539,3442685,215854
Georgia,2014,6,10.0,4826276,4343648,482628
California,2017,4,6.9,3032235,2823010,209225
Georgia,2010,3,6.9,2327503,2166905,160598
Florida,2015,7,6.1,2794245,2623796,170449
California,2023,8,6.7,1330746,1241586,89160
Illinois,2012,2,9.4,1262189,1143543,118646
Texas,2021,3,8.2,4261900,3912424,349476
New York,2018,8,10.6,2299391,2055655,243736
Pennsylvania,2012,6,4.9,2964140,2818897,145243
Michigan,2011,6,9.0,317770,289170,28600
New York,2015,10,3.8,2537245,2440829,96416
Ohio,2021,2,5.7,2802882,2643117,159765
Pennsylvania,2023,9,10.0,1438530,1294677,143853
New York,2011,8,11.9,1665213,1467052,198161
Michigan,2012,1,5.7,502980,474310,28670
California,2014,8,11.4,1549087,1372491,176596
Illinois,2010,4,9.2,3916126,3555842,360284
Pennsylvania,2016,9,9.4,4556397,4128095,428302
Florida,2023,6,5.4,1397991,1322499,75492
New York,2023,12,8.0,2207359,2030770,176589
Texas,2022,3,7.5,3267759,3022677,245082
Texas,2017,1,7.3,287771,266763,21008
Georgia,2021,2,3.2,2374316,2298337,75979
Pennsylvania,2021,2,5.2,3314215,3141875,172340
Michigan,2023,8,6.3,2430229,2277124,153105
Michigan,2014,7,4.6,2350397,2242278,108119
Ohio,2022,5,4.5,554418,529469,24949
Illinois,2018,6,4.3,4573014,4376374,196640
Michigan,2023,10,8.1,1698099,1560552,137547
Texas,2023,2,9.3,1256083,1139267,116816
Ohio,2017,6,7.9,3592099,3308323,283776
Michigan,2017,2,6.3,1908286,1788063,120223
Texas,2011,8,8.5,369160,337781,31379
California,2018,1,7.4,937393,868025,69368
Georgia,2015,1,3.1,834983,809098,25885
Illinois,2015,5,11.4,3038687,2692276,346411
Illinois,2010,11,5.1,4030010,3824479,205531
Texas,2021,4,10.0,1060652,954586,106066
New York,2010,6,6.1,3485744,3273113,212631
Washington,2016,10,7.9,2176475,2004533,171942
Illinois,2017,7,2.5,4126390,4023230,103160
Ohio,2014,11,8.8,4805815,4382903,422912
California,2013,9,5.3,3524083,3337306,186777
New York,2012,12,12.0,3001092,2640960,360132
Georgia,2016,12,10.7,2970574,2652722,317852
Texas,2023,3,6.0,2144940,2016243,128697
Texas,2014,4,10.6,4637871,4146256,491615
Illinois,2018,6,7.0,3952256,3675598,276658
Florida,2022,7,8.3,1730369,1586748,143621
Illinois,2017,8,8.7,1458097,1331242,126855
New York,2021,6,8.6,2675508,2445414,230094
Pennsylvania,2015,6,8.0,1389467,1278309,111158
New York,2022,9,10.3,3387093,3038222,348871
Washington,2014,12,3.4,2438377,2355472,82905
Ohio,2015,8,10.5,1811952,1621697,190255
Florida,2023,10,2.8,807173,784572,22601
California,2021,6,5.0,1161404,1103333,58071
Illinois,2013,10,7.4,2635232,2440224,195008
Florida,2016,12,5.0,4632688,4401053,231635
Pennsylvania,2021,10,10.6,4981909,4453826,528083
Ohio,2019,11,6.1,2445704,2296516,149188
Texas,2014,6,6.6,392575,366665,25910
Ohio,2018,1,9.5,2707622,2450397,257225
Florida,2018,12,2.5,4276426,4169515,106911
Ohio,2013,7,10.9,776296,691679,84617
Pennsylvania,2010,7,9.9,4242535,3822524,420011
Georgia,2020,4,11.0,2289921,2038029,251892
Texas,2021,12,7.0,862371,802005,60366
Washington,2017,9,4.8,4796671,4566430,230241
Florida,2011,11,11.6,2017160,1783169,233991
California,2020,10,4.4,864265,826237,38028
Illinois,2019,9,9.9,844748,761117,83631
New York,2020,5,7.5,834275,771704,62571
California,2010,4,5.7,1696853,1600132,96721
Illinois,2018,2,9.1,4048401,3679996,368405
Ohio,2013,4,4.7,3977809,3790851,186958
Georgia,2020,2,4.8,2692316,2563084,129232
Washington,2014,5,8.4,4076765,3734316,342449
Georgia,2023,2,7.7,2764749,2551863,212886
New York,2023,6,6.7,963659,899093,64566
California,2010,11,10.0,1256618,1130956,125662
Georgia,2018,4,11.5,3014863,2668153,346710
Pennsylvania,2020,10,7.5,1678315,1552441,125874
Ohio,2018,2,8.1,3604438,3312478,291960
Georgia,2015,2,11.8,2911139,2567624,343515
New York,2022,11,5.9,4590512,4319671,270841
Ohio,2011,2,9.7,3133449,2829504,303945
Pennsylvania,2023,4,4.8,2611910,2486538,125372
California,2020,4,7.9,712181,655918,56263
Georgia,2021,9,10.4,239227,214347,24880
Washington,2020,5,4.6,760327,725351,34976
Texas,2016,8,10.2,4256004,3821891,434113
Illinois,2022,3,11.0,2001740,1781548,220192
Washington,2013,9,4.0,4684946,4497548,187398
California,2018,7,6.0,3870771,3638524,232247
Ohio,2023,3,3.0,4420614,4287995,132619
Washington,2023,1,10.0,4400915,3960823,440092
Florida,2014,11,6.4,806673,755045,51628
California,2019,10,11.2,1135891,1008671,127220
Michigan,2019,11,4.6,867876,827953,39923
Washington,2010,1,3.9,1306184,1255242,50942
Florida,2014,11,7.9,4710146,4338044,372102
Washington,2012,3,3.9,1884006,1810529,73477
Michigan,2016,10,11.0,4689699,4173832,515867
Michigan,2019,4,7.2,2629832,2440484,189348
New York,2016,12,8.5,4708474,4308253,400221
Florida,2019,3,7.3,1524663,1413362,111301
Pennsylvania,2022,4,9.1,4567223,4151605,415618
Washington,2013,3,7.4,1830992,1695498,135494
Michigan,2014,8,5.3,2083044,1972642,110402
Ohio,2023,9,2.5,2463128,2401549,61579
Georgia,2015,5,9.4,2047238,1854797,192441
Georgia,2014,4,4.7,4909045,4678319,230726
Florida,2021,12,4.6,4127902,3938018,189884
Florida,2018,5,9.7,1199577,1083218,116359
Texas,2023,5,9.3,1702970,1544593,158377
New York,2023,9,6.0,327189,307557,19632
Florida,2016,8,9.7,3510580,3170053,340527
Pennsylvania,2010,11,6.4,1545065,1446180,98885
Texas,2023,9,5.1,1741232,1652429,88803
Florida,2013,9,3.7,4195077,4039859,155218
California,2010,9,4.1,3629921,3481094,148827
Pennsylvania,2016,11,10.1,4123278,3706826,416452
Michigan,2019,7,10.6,3768280,3368842,399438
California,2011,11,3.0,2259173,2191397,67776
Georgia,2013,4,4.0,4597968,4414049,183919
Michigan,2010,1,6.1,4076974,3828278,248696
Florida,2013,2,2.7,4056778,3947244,109534
Florida,2012,8,10.1,3009984,2705975,304009
Texas,2022,7,4.7,4772412,4548108,224304
New York,2015,9,7.6,3911666,3614379,297287
Ohio,2010,5,9.3,2573199,2333891,239308
New York,2012,12,4.7,1967306,1874842,92464
Washington,2018,4,8.9,225355,205298,20057
Michigan,2011,8,10.3,2587111,2320638,266473
Michigan,2023,8,11.4,4699409,4163676,535733
Michigan,2012,3,2.6,923759,899741,24018
Pennsylvania,2021,1,7.7,2347805,2167024,180781
Ohio,2020,5,5.9,953392,897141,56251
Georgia,2010,5,9.5,1090029,986476,103553
Ohio,2015,8,9.9,2685917,2420011,265906
Texas,2018,3,8.9,1488509,1356031,132478
Michigan,2013,1,8.6,4673574,4271646,401928
Michigan,2023,7,6.5,4136405,3867538,268867
Pennsylvania,2013,8,5.1,1724777,1636813,87964
Illinois,2018,8,3.1,4922684,4770080,152604
Washington,2010,2,11.7,195556,172675,22881
Illinois,2014,2,9.2,3766344,3419840,346504
California,2020,1,6.3,2695834,2525996,169838
New York,2019,2,7.1,4204399,3905886,298513
Texas,2021,8,8.7,622154,568026,54128
Michigan,2016,11,3.2,1179525,1141780,37745
Florida,2020,9,3.4,4356146,4208037,148109
Florida,2012,2,5.0,2966069,2817765,148304
New York,2015,11,8.9,877567,799463,78104
Georgia,2018,11,5.1,151707,143969,7738
Texas,2022,4,11.5,1977145,1749773,227372
Illinois,2019,5,11.5,989493,875701,113792
New York,2014,11,9.8,979459,883472,95987
Texas,2023,9,3.0,2391136,2319401,71735
California,2022,4,11.4,4285224,3796708,488516
Florida,2012,1,4.6,4895464,4670272,225192
Washington,2015,6,3.5,2279441,2199660,79781
Georgia,2011,3,11.0,1461236,1300500,160736
Illinois,2021,4,6.6,3499752,3268768,230984
Washington,2012,8,4.7,104138,99243,4895
Illinois,2018,10,9.2,3964044,3599351,364693
Pennsylvania,2016,1,10.3,1997951,1792162,205789
Florida,2010,9,2.7,4280266,4164698,115568
Texas,2017,11,6.9,1438306,1339062,99244
Washington,2010,11,8.2,4852989,4455043,397946
Michigan,2019,2,10.1,3184562,2862921,321641
Florida,2020,8,4.4,3080672,2945122,135550
Michigan,2017,11,7.5,526674,487173,39501
Washington,2010,9,4.5,3925258,3748621,176637
Illinois,2016,1,10.7,3599701,3214532,385169
Ohio,2018,2,10.0,3003609,2703248,300361
Georgia,2019,8,6.7,3900315,3638993,261322
Ohio,2021,2,10.3,2505514,2247446,258068
Washington,2018,4,8.1,3430922,3153017,277905
Georgia,2017,4,4.5,3402198,3249099,153099
New York,2023,6,8.7,2122784,1938101,184683
Georgia,2015,5,4.0,870692,835864,34828
California,2019,12,8.8,3670118,3347147,322971
New York,2022,4,6.7,636644,593988,42656
California,2013,12,4.9,2873737,2732923,140814
Michigan,2018,5,9.6,2092569,1891682,200887
Florida,2017,9,10.4,3238102,2901339,336763
Ohio,2013,10,6.0,161753,152047,9706
Michigan,2010,1,3.5,755496,729053,26443
Georgia,2012,3,5.8,593992,559540,34452
Georgia,2014,10,10.9,4529899,4036140,493759
Michigan,2012,9,2.6,4485224,4368608,116616
Ohio,2016,4,4.7,1662518,1584379,78139
California,2016,8,10.7,2844804,2540409,304395
Georgia,2021,2,5.3,1620373,1534493,85880
California,2023,1,6.4,1090121,1020353,69768
New York,2023,10,5.9,583442,549018,34424
Florida,2011,9,4.5,2056874,1964314,92560
Michigan,2016,6,5.0,3552814,3375173,177641
Pennsylvania,2017,11,7.8,1709184,1575867,133317
New York,2012,10,6.4,2428476,2273053,155423
Texas,2011,3,7.7,2503233,2310484,192749
California,2014,7,3.9,2966457,2850765,115692
California,2016,5,9.8,1260294,1136785,123509
Ohio,2010,1,8.3,3048632,2795595,253037
New York,2022,5,4.6,3124015,2980310,143705
Illinois,2015,12,9.1,3042775,2765882,276893
California,2022,9,10.8,1437768,1282489,155279
New York,2021,3,5.2,1506150,1427830,78320
New York,2012,2,6.3,4855997,4550069,305928
Illinois,2017,2,11.1,1593551,1416666,176885
Texas,2017,6,7.1,455054,422745,32309
Illinois,2017,4,10.6,2948883,2636301,312582
Illinois,2010,2,6.1,4739276,4450180,289096
Georgia,2013,11,2.9,4714466,4577746,136720
New York,2012,6,9.4,4339399,3931495,407904
Michigan,2023,4,6.9,450067,419012,31055
Washington,2020,11,6.1,2370463,2225864,144599
California,2018,12,8.5,799895,731903,67992
Illinois,2013,8,6.5,3149316,2944610,204706
Michigan,2019,4,3.8,1006450,968204,38246
Michigan,2021,9,5.8,658981,620760,38221
Washington,2010,7,8.3,3815929,3499206,316723
Florida,2019,5,7.6,2053341,1897287,156054
Washington,2021,10,6.4,4748455,4444553,303902
Pennsylvania,2020,9,4.8,395866,376864,19002
Texas,2023,12,9.4,1905518,1726399,179119
California,2019,2,3.8,2246674,2161300,85374
Washington,2016,2,11.6,2082847,1841236,241611
Georgia,2018,3,11.4,1957596,1734430,223166
California,2023,12,6.9,4883725,4546747,336978
Florida,2016,6,3.1,2189934,2122046,67888
Florida,2016,7,4.3,2223091,2127498,95593
Washington,2014,4,6.0,3130555,2942721,187834
Pennsylvania,2010,5,5.0,2132709,2026073,106636
Ohio,2012,5,8.5,3100109,2836599,263510
Texas,2015,9,11.0,2372759,2111755,261004
Pennsylvania,2022,7,12.0,2580017,2270414,309603
Texas,2017,11,10.2,3749279,3366852,382427
Georgia,2020,4,11.1,688574,612142,76432
Washington,2012,11,4.8,4546460,4328229,218231
California,2012,4,11.0,2398354,2134535,263819
Georgia,2020,12,8.7,606453,553691,52762
Georgia,2023,8,8.4,2607743,2388692,219051
Florida,2016,11,2.6,4024482,3919845,104637
Ohio,2014,10,6.2,4261603,3997383,264220
New York,2020,2,9.2,2499146,2269224,229922
Illinois,2013,3,10.7,1050922,938473,112449
Texas,2016,12,7.5,3099610,2867139,232471
Ohio,2012,5,11.8,4701731,4146926,554805
Georgia,2010,10,9.3,518829,470577,48252
Texas,2020,7,10.7,3056151,2729142,327009
Michigan,2020,5,8.5,965256,883209,82047
Georgia,2019,6,4.0,4573447,4390509,182938
Georgia,2015,2,8.8,349265,318529,30736
Florida,2011,1,8.3,1907402,1749087,158315
Pennsylvania,2015,4,11.6,3445026,3045402,399624
Pennsylvania,2019,2,7.9,1958997,1804236,154761
Washington,2020,8,3.4,1529290,1477294,51996
Georgia,2013,8,3.1,1499769,1453276,46493
California,2013,4,4.8,3717597,3539152,178445
Michigan,2022,11,10.9,1994554,1777147,217407
Ohio,2016,8,10.9,1047272,933119,114153
New York,2012,4,4.6,3219734,3071626,148108
Illinois,2017,5,3.1,2721158,2636802,84356
Ohio,2016,12,10.3,4330207,3884195,446012
Washington,2023,3,7.7,1590017,1467585,122432
Texas,2016,12,4.1,1567130,1502877,64253
Florida,2011,6,11.5,2687551,2378482,309069
Florida,2014,4,11.7,126616,111801,14815
Pennsylvania,2017,8,2.6,1138218,1108624,29594
Pennsylvania,2022,8,3.7,2692806,2593172,99634
California,2013,4,4.5,1946357,1858770,87587
Florida,2011,6,10.7,2799134,2499626,299508
Pennsylvania,2016,6,7.1,4001403,3717303,284100
Ohio,2015,10,7.3,4187138,3881476,305662
Michigan,2010,1,6.9,596440,555285,41155
Michigan,2019,5,6.5,1803820,1686571,117249
Illinois,2011,3,11.9,697904,614853,83051
Washington,2016,7,7.8,3739688,3447992,291696
Pennsylvania,2013,10,4.4,4872945,4658535,214410
Illinois,2021,12,9.0,424934,386689,38245
Illinois,2012,2,3.7,3814755,3673609,141146
Illinois,2023,8,4.4,1272304,1216322,55982
California,2014,6,7.9,2099117,1933286,165831
Georgia,2013,12,7.8,4736440,4366997,369443
Georgia,2015,8,4.3,3300450,3158530,141920
New York,2022,6,10.3,2467893,2213700,254193
Georgia,2017,7,7.9,1916760,1765335,151425
Georgia,2023,3,11.4,4737370,4197309,540061
California,2020,5,4.2,3920888,3756210,164678
Illinois,2023,5,10.8,4577310,4082960,494350
Georgia,2013,10,10.0,1714099,1542689,171410
Florida,2022,1,3.9,1330796,1278894,51902
California,2017,10,4.8,4380428,4170167,210261
Michigan,2023,8,4.5,2919182,2787818,131364
Michigan,2014,1,9.8,938927,846912,92015
Michigan,2011,6,6.6,4215741,3937502,278239
Michigan,2022,2,6.3,4731889,4433779,298110
Ohio,2023,5,2.9,598512,581155,17357
Pennsylvania,2012,4,8.9,479593,436909,42684
Ohio,2016,4,5.1,3014611,2860865,153746
Illinois,2015,1,10.1,2921839,2626733,295106
Illinois,2021,1,9.8,3979928,3589895,390033
Illinois,2017,8,11.3,1440683,1277885,162798
California,2020,8,4.4,3697170,3534494,162676
Michigan,2020,1,4.5,4500852,4298313,202539
Ohio,2017,7,11.3,2897909,2570445,327464
Texas,2015,5,9.6,317314,286851,30463
New York,2020,8,2.8,2482962,2413439,69523
Texas,2017,3,8.6,681904,623260,58644
Georgia,2012,8,5.5,2045537,1933032,112505
Georgia,2016,5,10.9,3474659,3095921,378738
Georgia,2019,1,5.2,2117337,2007235,110102
Florida,2019,1,9.2,520539,472649,47890
New York,2019,12,5.7,3597831,3392754,205077
Pennsylvania,2020,12,5.0,2622919,2491773,131146
California,2021,8,11.4,3949091,3498894,450197
Georgia,2021,11,3.4,3027503,2924567,102936
Pennsylvania,2021,8,5.7,4924574,4643873,280701
Texas,2012,10,2.5,2116328,2063419,52909
Washington,2013,8,8.0,370146,340534,29612
Pennsylvania,2014,3,9.7,4042863,3650705,392158
California,2012,12,10.7,4572089,4082875,489214
Texas,2016,2,11.0,4275318,3805033,470285
Florida,2016,7,3.5,2698133,2603698,94435
Illinois,2011,3,5.8,1260152,1187063,73089
Florida,2010,4,3.6,2465885,2377113,88772
California,2013,6,9.0,3024537,2752328,272209
Washington,2023,4,9.5,1573300,1423836,149464
Pennsylvania,2018,10,7.7,397584,366970,30614
Michigan,2013,11,11.3,2971259,2635506,335753
New York,2015,8,8.7,3110087,2839509,270578
Texas,2019,9,11.5,3118439,2759818,358621
Michigan,2020,5,3.4,4786134,4623405,162729
Ohio,2017,11,11.8,3655912,3224514,431398
Texas,2010,8,2.8,2309821,2245146,64675
Michigan,2019,11,9.6,3144287,2842435,301852
Georgia,2021,10,10.0,2369798,2132818,236980
Washington,2014,8,5.8,2105534,1983413,122121
Florida,2018,12,7.5,3059470,2830009,229461
California,2010,9,8.0,4561902,4196949,364953
California,2015,6,11.0,4225903,3761053,464850
Pennsylvania,2023,1,5.6,422137,398497,23640
California,2015,1,5.9,3463244,3258912,204332
Georgia,2012,8,10.2,808092,725666,82426
California,2014,8,11.4,768629,681005,87624
Washington,2010,7,7.5,4338340,4012964,325376
Washington,2013,6,4.0,785503,754082,31421
Texas,2011,4,7.8,4877421,4496982,380439
Michigan,2021,7,7.4,678110,627929,50181
New York,2010,3,5.9,3810879,3586037,224842
Washington,2021,8,5.5,3006492,2841134,165358
California,2016,11,11.6,3346434,2958247,388187
Florida,2022,6,8.9,3345988,3048195,297793
Florida,2017,11,2.8,4390447,4267514,122933
Florida,2022,10,4.1,1920908,1842150,78758
Texas,2012,6,5.5,4470602,4224718,245884
Illinois,2016,2,10.9,3150999,2807540,343459
New York,2016,10,5.5,2433647,2299796,133851
New York,2023,10,5.5,459281,434020,25261
Ohio,2014,7,9.4,1185610,1074162,111448
Michigan,2014,6,11.5,3606172,3191462,414710
Florida,2022,7,7.3,859401,796664,62737
Texas,2017,10,7.4,3435379,3181160,254219
Georgia,2017,11,7.8,1659657,1530203,129454
California,2013,4,4.7,542244,516758,25486
Georgia,2017,6,6.7,507407,473410,33997
Michigan,2020,11,9.9,156635,141128,15507
Michigan,2023,1,6.6,4522888,4224377,298511
Illinois,2016,10,8.4,185166,169612,15554
Ohio,2013,7,6.5,397883,372020,25863
Texas,2022,8,6.5,1543401,1443079,100322
Washington,2018,10,5.7,1286430,1213103,73327
Illinois,2018,3,8.2,4007297,3678698,328599
Washington,2012,11,2.7,4235316,4120962,114354
Georgia,2022,7,3.8,4422751,4254686,168065
Texas,2021,9,6.5,3568282,3336343,231939
California,2012,2,10.7,3057498,2730345,327153
Washington,2015,9,10.0,2035657,1832091,203566
Florida,2016,6,7.7,1009210,931500,77710
Pennsylvania,2016,7,7.7,1560235,1440096,120139
California,2022,1,4.6,3961460,3779232,182228
Pennsylvania,2014,10,3.4,3707323,3581274,126049
Georgia,2022,12,5.2,2028854,1923353,105501
Washington,2016,4,7.2,3109828,2885920,223908
New York,2013,4,4.0,3299039,3167077,131962
Ohio,2020,7,4.0,3587379,3443883,143496
Illinois,2015,4,6.4,2529151,2367285,161866
Texas,2014,6,2.8,601793,584942,16851
Georgia,2022,4,10.9,1870403,1666529,203874
Illinois,2016,3,6.4,1376485,1288389,88096
Florida,2018,4,8.9,665635,606393,59242
Texas,2011,5,4.0,4822340,4629446,192894
Georgia,2019,4,5.1,3211500,3047713,163787
Washington,2018,10,7.3,497891,461544,36347
New York,2019,3,8.0,3824476,3518517,305959
New York,2014,2,6.6,4950825,4624070,326755
Texas,2011,12,8.8,3153407,2875907,277500
Michigan,2014,11,5.1,1251882,1188036,63846
Michigan,2014,4,8.2,800270,734647,65623
Texas,2021,1,11.0,4818912,4288831,530081
Ohio,2019,7,4.9,1508791,1434860,73931
Florida,2021,3,3.7,2831303,2726544,104759
Texas,2020,11,10.5,575147,514756,60391
New York,2019,11,8.1,976336,897252,79084
Texas,2021,6,6.6,2385221,2227796,157425
Illinois,2022,10,9.1,4012487,3647350,365137
California,2022,8,9.6,4739022,4284075,454947
Ohio,2015,6,3.7,1008017,970720,37297
Illinois,2011,10,8.1,2218219,2038543,179676
Washington,2018,10,3.3,3446145,3332422,113723
Florida,2016,12,9.9,4275282,3852029,423253
Florida,2017,6,5.3,3700952,3504801,196151
Texas,2022,12,8.1,1296311,1191309,105002
Ohio,2019,5,8.2,4888109,4487284,400825
Texas,2019,12,3.9,236645,227415,9230
Florida,2022,4,9.4,2535919,2297542,238377
Florida,2017,9,5.4,2729137,2581763,147374
Georgia,2012,7,2.5,2119450,2066463,52987
Ohio,2013,5,8.5,4224390,3865316,359074
Georgia,2021,1,8.8,1888220,1722056,166164
Michigan,2023,12,11.3,1941646,1722240,219406
Texas,2014,11,6.3,1919239,1798326,120913
California,2014,3,5.9,2569970,2418341,151629
Georgia,2023,7,10.2,2678682,2405456,273226
Florida,2012,5,7.4,4704229,4356116,348113
Illinois,2015,2,8.3,333979,306258,27721
Illinois,2017,7,7.1,4144630,3850361,294269
Michigan,2015,8,6.3,2555257,2394275,160982
New York,2013,3,10.2,3403481,3056325,347156
Ohio,2010,1,7.1,879091,816675,62416
Georgia,2017,3,6.0,1064795,1000907,63888
New York,2014,11,3.6,1720179,1658252,61927
Florida,2018,7,10.8,2434482,2171557,262925
Georgia,2020,11,4.3,1384283,1324758,59525
Illinois,2015,12,6.7,1603061,1495655,107406
New York,2017,4,7.7,641529,592131,49398
New York,2019,7,8.1,1641019,1508096,132923
Illinois,2013,8,3.0,163014,158123,4891
New York,2021,7,4.7,4632889,4415143,217746
Washington,2020,11,2.9,456778,443531,13247
New York,2015,4,5.4,1631817,1543698,88119
California,2012,8,7.7,4062931,3750085,312846
Georgia,2017,7,8.6,2126819,1943912,182907
Illinois,2021,10,9.8,832722,751115,81607
Ohio,2014,5,5.5,1134104,1071728,62376
Illinois,2022,6,5.4,4201599,3974712,226887
California,2016,10,6.4,4979797,4661089,318708
Illinois,2016,7,5.5,2555918,2415342,140576
Illinois,2019,9,3.1,2466304,2389848,76456
Florida,2023,3,8.8,3830370,3493297,337073
Florida,2022,8,11.9,901125,793891,107234
Washington,2020,5,6.7,2091161,1951053,140108
Georgia,2016,9,11.4,1508277,1336333,171944
California,2011,1,3.9,3766569,3619672,146897
Illinois,2016,2,6.3,932307,873571,58736
California,2010,12,6.2,2468417,2315375,153042
Florida,2010,4,4.5,412579,394012,18567
California,2016,2,10.8,3577794,3191392,386402
Pennsylvania,2022,8,10.1,2992531,2690285,302246
Illinois,2011,12,5.3,3928239,3720042,208197
New York,2020,11,6.0,4905028,4610726,294302
California,2016,10,7.0,2409608,2240935,168673
Florida,2023,6,7.0,2367357,2201642,165715
Florida,2011,10,5.1,3350428,3179556,170872
California,2019,10,11.7,3978551,3513060,465491
Georgia,2012,5,6.5,1776644,1661162,115482
Illinois,2019,1,3.9,3402923,3270209,132714
Georgia,2023,11,5.7,3656597,3448170,208427
Ohio,2021,7,4.7,2189706,2086789,102917
Ohio,2011,4,2.7,714673,695376,19297
New York,2016,11,6.9,854085,795153,58932
Ohio,2019,1,10.4,851993,763385,88608
Florida,2020,2,5.0,4202748,3992610,210138
Pennsylvania,2015,2,10.3,2674469,2398998,275471
Washington,2018,7,8.2,437462,401590,35872
Michigan,2021,12,2.6,4366399,4252872,113527
Ohio,2016,5,9.8,1002473,904230,98243
Michigan,2019,7,6.7,1743906,1627064,116842
New York,2019,12,4.8,1615554,1538007,77547
Georgia,2021,6,7.4,3846962,3562286,284676
New York,2017,8,10.5,3516403,3147180,369223
Florida,2012,5,2.7,2489127,2421920,67207
Michigan,2022,3,10.8,1351661,1205681,145980
Ohio,2018,7,3.4,4812037,4648427,163610
Texas,2018,6,7.6,4570756,4223378,347378
California,2019,11,8.1,1790992,1645921,145071
Illinois,2011,12,11.8,1117497,985632,131865
Illinois,2013,9,3.1,3194510,3095480,99030
Ohio,2020,9,3.9,290285,278963,11322
Texas,2020,12,4.1,3228411,3096046,132365
New York,2017,11,9.8,2802303,2527677,274626
Florida,2021,1,2.7,1211288,1178583,32705
Texas,2012,10,8.2,704111,646373,57738
Pennsylvania,2016,5,3.4,1567217,1513931,53286
Texas,2011,10,7.7,2163729,1997121,166608
Texas,2018,7,9.9,1504962,1355970,148992
Michigan,2014,10,10.8,2439189,2175756,263433
Pennsylvania,2018,1,6.4,4170101,3903214,266887
Michigan,2017,6,4.4,1824854,1744560,80294
California,2012,12,10.1,4496208,4042090,454118
Ohio,2019,3,3.8,2935623,2824069,111554
Georgia,2022,7,7.9,2605365,2399541,205824
New York,2021,8,4.0,333462,320123,13339
Georgia,2014,10,11.1,3888264,3456666,431598
California,2015,7,5.4,1864694,1764000,100694
Michigan,2023,11,5.8,4552664,4288609,264055
Michigan,2016,11,7.9,4922481,4533605,388876
Pennsylvania,2012,8,4.9,1694502,1611471,83031
Texas,2013,11,5.0,2660244,2527231,133013
Illinois,2014,10,7.4,4764496,4411923,352573
Michigan,2013,5,11.2,1740027,1545143,194884
